"pict","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"p10sarr1",1,0,1,0,0,0,1,1,1
"p10sarr1col",4,0,2,0,0,0,4,4,2
"p10sarr1sha",2,0,2,0,0,0,3,1,2
"p10sarr2",1,0,1,0,0,0,1,1,1
"p10sarr2col",2,0,1,0,0,0,4,1,3
"p10sarr2sha",2,0,3,0,0,0,1,3,2
"p10sarr3",1,0,1,0,0,0,1,1,1
"p10sarr3col",6,0,3,0,0,0,5,4,4
"p10sarr3sha",1,0,1,0,0,0,1,3,1
"p10sarr4",1,0,1,0,0,0,1,1,1
"p10sarr4col",3,0,6,0,0,0,1,4,2
"p10sarr4sha",2,0,3,0,0,0,3,2,1
"p1sarr1",1,1,1,0,0,0,1,0,1
"p1sarr1col",1,2,4,0,0,0,3,0,2
"p1sarr1sha",2,2,3,0,0,0,1,0,1
"p1sarr2",1,1,1,0,0,0,1,0,1
"p1sarr2col",5,1,2,0,0,0,4,0,5
"p1sarr2sha",2,2,3,0,0,0,3,0,3
"p1sarr3",1,1,1,0,0,0,1,0,1
"p1sarr3col",3,6,6,0,0,0,2,0,2
"p1sarr3sha",1,2,2,0,0,0,1,0,2
"p1sarr4",1,1,1,0,0,0,1,0,1
"p1sarr4col",5,5,5,0,0,0,1,0,3
"p1sarr4sha",1,1,2,0,0,0,2,0,3
"p1sarrcol1",1,1,1,0,0,0,1,0,1
"p1sarrcol1col",3,5,1,0,0,0,6,0,6
"p1sarrcol1sha",2,2,2,0,0,0,1,0,1
"p1sarrcol2",1,1,1,0,0,0,1,0,1
"p1sarrcol2col",3,5,1,0,0,0,6,0,6
"p1sarrcol2sha",2,3,1,0,0,0,1,0,3
"p1sarrcol3",1,1,1,0,0,0,1,0,1
"p1sarrcol3col",3,5,1,0,0,0,6,0,6
"p1sarrcol3sha",2,2,3,0,0,0,2,0,3
"p1sarrcol4",1,1,1,0,0,0,1,0,1
"p1sarrcol4col",3,5,1,0,0,0,6,0,6
"p1sarrcol4sha",2,1,2,0,0,0,1,0,3
"p1sarrsha1",1,1,1,0,0,0,1,0,1
"p1sarrsha1col",6,2,3,0,0,0,1,0,5
"p1sarrsha1sha",1,2,3,0,0,0,2,0,1
"p1sarrsha2",1,1,1,0,0,0,1,0,1
"p1sarrsha2col",5,5,1,0,0,0,3,0,5
"p1sarrsha2sha",1,2,3,0,0,0,2,0,1
"p1sarrsha3",1,1,1,0,0,0,1,0,1
"p1sarrsha3col",1,2,3,0,0,0,4,0,6
"p1sarrsha3sha",1,2,3,0,0,0,2,0,1
"p1sarrsha4",1,1,1,0,0,0,1,0,1
"p1sarrsha4col",1,4,4,0,0,0,2,0,2
"p1sarrsha4sha",1,2,3,0,0,0,2,0,1
"p1sarrshacol1",1,1,1,0,0,0,1,0,1
"p1sarrshacol1col",6,3,5,0,0,0,1,0,6
"p1sarrshacol1sha",1,2,3,0,0,0,2,0,1
"p1sarrshacol2",1,1,1,0,0,0,1,0,1
"p1sarrshacol2col",1,5,5,0,0,0,5,0,6
"p1sarrshacol2sha",1,2,3,0,0,0,2,0,1
"p1sarrshacol3",1,1,1,0,0,0,1,0,1
"p1sarrshacol3col",5,6,1,0,0,0,3,0,1
"p1sarrshacol3sha",1,2,3,0,0,0,2,0,1
"p1sarrshacol4",1,1,1,0,0,0,1,0,1
"p1sarrshacol4col",5,1,6,0,0,0,5,0,3
"p1sarrshacol4sha",1,2,3,0,0,0,2,0,1
"p2sarr1",1,1,0,1,0,0,0,1,1
"p2sarr1col",1,6,0,3,0,0,0,5,1
"p2sarr1sha",3,1,0,3,0,0,0,1,1
"p2sarr2",1,1,0,1,0,0,0,1,1
"p2sarr2col",5,4,0,3,0,0,0,3,6
"p2sarr2sha",3,1,0,3,0,0,0,3,3
"p2sarr3",1,1,0,1,0,0,0,1,1
"p2sarr3col",6,5,0,3,0,0,0,2,1
"p2sarr3sha",1,1,0,2,0,0,0,2,2
"p2sarr4",1,1,0,1,0,0,0,1,1
"p2sarr4col",4,5,0,6,0,0,0,2,6
"p2sarr4sha",2,3,0,2,0,0,0,2,3
"p2sarrcol1",1,1,0,1,0,0,0,1,1
"p2sarrcol1col",5,6,0,4,0,0,0,2,3
"p2sarrcol1sha",1,1,0,2,0,0,0,1,2
"p2sarrcol2",1,1,0,1,0,0,0,1,1
"p2sarrcol2col",5,6,0,4,0,0,0,2,3
"p2sarrcol2sha",2,3,0,1,0,0,0,3,2
"p2sarrcol3",1,1,0,1,0,0,0,1,1
"p2sarrcol3col",5,6,0,4,0,0,0,2,3
"p2sarrcol3sha",1,3,0,2,0,0,0,3,3
"p2sarrcol4",1,1,0,1,0,0,0,1,1
"p2sarrcol4col",5,6,0,4,0,0,0,2,3
"p2sarrcol4sha",3,2,0,2,0,0,0,3,3
"p2sarrsha1",1,1,0,1,0,0,0,1,1
"p2sarrsha1col",1,5,0,3,0,0,0,5,5
"p2sarrsha1sha",1,2,0,1,0,0,0,2,2
"p2sarrsha2",1,1,0,1,0,0,0,1,1
"p2sarrsha2col",2,5,0,1,0,0,0,5,6
"p2sarrsha2sha",1,2,0,1,0,0,0,2,2
"p2sarrsha3",1,1,0,1,0,0,0,1,1
"p2sarrsha3col",4,1,0,5,0,0,0,6,6
"p2sarrsha3sha",1,2,0,1,0,0,0,2,2
"p2sarrsha4",1,1,0,1,0,0,0,1,1
"p2sarrsha4col",2,6,0,5,0,0,0,5,1
"p2sarrsha4sha",1,2,0,1,0,0,0,2,2
"p2sarrshacol1",1,1,0,1,0,0,0,1,1
"p2sarrshacol1col",6,6,0,3,0,0,0,2,6
"p2sarrshacol1sha",1,2,0,1,0,0,0,2,2
"p2sarrshacol2",1,1,0,1,0,0,0,1,1
"p2sarrshacol2col",6,2,0,4,0,0,0,3,6
"p2sarrshacol2sha",1,2,0,1,0,0,0,2,2
"p2sarrshacol3",1,1,0,1,0,0,0,1,1
"p2sarrshacol3col",4,5,0,5,0,0,0,6,2
"p2sarrshacol3sha",1,2,0,1,0,0,0,2,2
"p2sarrshacol4",1,1,0,1,0,0,0,1,1
"p2sarrshacol4col",2,2,0,4,0,0,0,3,3
"p2sarrshacol4sha",1,2,0,1,0,0,0,2,2
"p3sarr1",0,0,1,1,1,1,0,0,1
"p3sarr1col",0,0,2,3,6,1,0,0,1
"p3sarr1sha",0,0,1,1,2,2,0,0,2
"p3sarr2",0,0,1,1,1,1,0,0,1
"p3sarr2col",0,0,3,4,1,4,0,0,1
"p3sarr2sha",0,0,2,2,3,3,0,0,2
"p3sarr3",0,0,1,1,1,1,0,0,1
"p3sarr3col",0,0,4,3,6,4,0,0,6
"p3sarr3sha",0,0,3,1,1,1,0,0,3
"p3sarr4",0,0,1,1,1,1,0,0,1
"p3sarr4col",0,0,4,5,5,6,0,0,4
"p3sarr4sha",0,0,2,3,1,3,0,0,1
"p3sarrcol1",0,0,1,1,1,1,0,0,1
"p3sarrcol1col",0,0,6,2,3,4,0,0,5
"p3sarrcol1sha",0,0,1,2,2,1,0,0,1
"p3sarrcol2",0,0,1,1,1,1,0,0,1
"p3sarrcol2col",0,0,6,2,3,4,0,0,5
"p3sarrcol2sha",0,0,3,2,3,2,0,0,3
"p3sarrcol3",0,0,1,1,1,1,0,0,1
"p3sarrcol3col",0,0,6,2,3,4,0,0,5
"p3sarrcol3sha",0,0,1,2,1,1,0,0,3
"p3sarrcol4",0,0,1,1,1,1,0,0,1
"p3sarrcol4col",0,0,6,2,3,4,0,0,5
"p3sarrcol4sha",0,0,2,3,3,1,0,0,3
"p3sarrsha1",0,0,1,1,1,1,0,0,1
"p3sarrsha1col",0,0,5,5,5,5,0,0,1
"p3sarrsha1sha",0,0,1,2,3,2,0,0,1
"p3sarrsha2",0,0,1,1,1,1,0,0,1
"p3sarrsha2col",0,0,1,5,2,1,0,0,2
"p3sarrsha2sha",0,0,1,2,3,2,0,0,1
"p3sarrsha3",0,0,1,1,1,1,0,0,1
"p3sarrsha3col",0,0,4,2,2,3,0,0,5
"p3sarrsha3sha",0,0,1,2,3,2,0,0,1
"p3sarrsha4",0,0,1,1,1,1,0,0,1
"p3sarrsha4col",0,0,2,3,5,6,0,0,1
"p3sarrsha4sha",0,0,1,2,3,2,0,0,1
"p3sarrshacol1",0,0,1,1,1,1,0,0,1
"p3sarrshacol1col",0,0,6,5,6,2,0,0,2
"p3sarrshacol1sha",0,0,1,2,3,2,0,0,1
"p3sarrshacol2",0,0,1,1,1,1,0,0,1
"p3sarrshacol2col",0,0,4,4,4,4,0,0,3
"p3sarrshacol2sha",0,0,1,2,3,2,0,0,1
"p3sarrshacol3",0,0,1,1,1,1,0,0,1
"p3sarrshacol3col",0,0,4,6,6,6,0,0,5
"p3sarrshacol3sha",0,0,1,2,3,2,0,0,1
"p3sarrshacol4",0,0,1,1,1,1,0,0,1
